1001	17.61
1002	-0.4973
1003	-0.22
1004	1.821
1005	14.11
1006	7.926
1007	15.54
1008	13.78
1009	8.485
1010	16.83
1011	6.254
1012	11.26
1013	10.02
1014	9.722
1015	13.25
1016	9.571
1017	14.29
1018	9.749
1019	15.21
1020	-1.361
1021	8.638
1022	5.367
1023	4.383
1024	17.43
1025	8.633
1026	5.847
1027	4.914
1028	8.045
1029	9.469
1030	7.353
1031	6.383
1032	-0.2094
1033	9.614
1034	5.747
1035	11.72
1036	12.24
1037	3.175
1038	5.786
1039	15.88
1040	11.75
1041	1.741
1042	5.913
1043	8.077
1044	-3.22
1045	1.338
1046	13.18
1047	12.95
1048	10.79
1049	5.194
1050	9.089
1051	0.91
1052	11.9
1053	11.06
1054	4.039
1055	6.808
1056	11.84
1057	13.41
1058	3.069
1059	-2.863
1060	5.738
1061	9.535
1062	14.32
1063	3.436
1064	5.193
1065	8.321
1066	2.808
1067	4.686
1068	6.376
1069	6.599
1070	2.16
1071	7.354
1072	3.71
1073	4.85
1074	8.909
1075	9.888
1076	-3.422
1077	12.84
1078	2.876
1079	4.513
1080	2.238
1081	-2.063
1082	11.86
1083	11.25
1084	12.17
1085	14.58
1086	-2.062
1087	11.81
1088	5.978
1089	8.175
1090	15.4
1091	6.244
1092	12.14
1093	10.42
1094	10.66
1095	6.623
1096	9.32
1097	4.763
1098	21.8
1099	8.667
1100	5.914
1101	5.934
1102	3.419
1103	4.814
1104	1.126
1105	10.96
1106	11.96
1107	7.815
1108	6.368
1109	5.043
1110	4.982
1111	5.376
1112	5.421
1113	5.481
1114	5.97
1115	5.194
1116	5.49
1117	7.185
1118	12.97
1119	5.945
1120	6.514
1121	6.003
1122	7.239
1123	6.694
1124	9.362
1125	-4.438
1126	13.66
1127	6.339
1128	10.86
1129	-2.436
1130	13.09
1131	10.69
1132	11.42
1133	13.4
1134	9.048
1135	17.67
1136	11.78
1137	4.483
1138	7.073
1139	3.791
1140	2.088
1141	5.061
1142	10.84
1143	6.35
1144	2.925
1145	10.18
1146	-0.7867
1147	18.45
1148	9.202
1149	4.176
1150	5.494
1151	4.943
1152	4.18
1153	4.573
1154	4.777
1155	14.28
1156	3.784
1157	8.993
1158	5.857
1159	7.445
1160	9.432
1161	10.03
1162	9.92
1163	9.821
1164	8.615
1165	6.628
1166	8.197
1167	7.937
1168	11.0
1169	5.873
1170	8.136
1171	5.931
1172	10.71
1173	3.305
1174	10.26
1175	10.32
1176	5.502
1177	7.187
1178	13.93
1179	4.578
1180	7.535
1181	2.882
1182	5.538
1183	5.075
1184	5.255
1185	8.834
1186	7.082
1187	16.29
1188	15.27
1189	6.368
1190	8.691
1191	5.224
1192	9.556
1193	8.479
1194	23.57
1195	6.182
1196	17.78
1197	2.375
1198	2.723
1199	6.595
1200	7.145
1201	9.913
1202	3.208
1203	2.553
1204	13.44
1205	3.869
1206	4.516
1207	4.48
1208	4.51
1209	4.444
1210	4.283
1211	4.208
1212	4.116
1213	2.841
1214	0.9843
1215	2.629
1216	8.761
1217	-1.975
1218	-0.4883
1219	8.889
1220	7.38
1221	5.072
1222	16.97
1223	8.374
1224	0.7098
1225	15.43
1226	9.408
1227	-2.591
1228	7.8
1229	6.662
1230	6.795
1231	8.259
1232	8.495
1233	6.641
1234	9.401
1235	5.241
